Book,Author,Date Published,Genre/Themes,URL
Chlorine,Jade Song,2023,"Horror, Fantasy, coming of age, LGBT",https://www.goodreads.com/book/show/61387386-chlorine
Forager: Field Notes for Surviving a Family Cult,Michelle Dowd,2023,"Memoir, Cults, Religion",https://www.goodreads.com/book/show/60831911-forager
"Howl's Moving Castle ",Diana Wynne Jones,1986,"Fantasy, romance",https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle?ref=nav_sb_ss_1_13
I’m Glad My Mom Died,Jennette McCurdy,2022,Nonfiction/Autobiography,https://www.simonandschuster.com/books/Im-Glad-My-Mom-Died/Jennette-McCurdy/9781982185824
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,"Fiction, magical realism",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude?ref=nav_sb_ss_1_11
Pachinko,Min Jin Lee,2017,Korean/Japanese historical fiction,https://www.goodreads.com/book/show/34051011-pachinko?ref=nav_sb_ss_1_6
The Keeper of Lost Things: A Novel,2017," Contemprary, Magical realism, romance",https://www.goodreads.com/book/show/30363088-the-keeper-of-lost-things?ref=nav_sb_ss_1_16
The Lone Ranger and Tonto Fistfight in Heaven (20th Anniversary Edition),Sherman Alexie,1993,"Short story/ fiction / Native-American ",https://en.m.wikipedia.org/wiki/The_Lone_Ranger_and_Tonto_Fistfight_in_Heaven
